layers,units,lr,w,avg_recall,avg_f1,avg_fpr
1,16,0.001,20,0.9462897701419998,0.8644936096544708,0.21986096807475625
1,16,0.005,20,0.9680021729590106,0.8391964281686928,0.24854497486485289
2,8,0.001,20,0.9748278082396131,0.8573110914304263,0.2291049605848777
2,8,0.005,20,0.9794182742244357,0.8740044806270009,0.217575575865914
2,16,0.001,20,0.9873771730788985,0.8751827907128227,0.2220024719465088
2,16,0.005,20,0.9819716740036538,0.8745548754932946,0.2203391324798869
3,8,0.001,20,0.9850830369418858,0.8770273281999929,0.21979539913022225
3,8,0.005,20,0.9845965467583342,0.8739975826911726,0.21945741982603623
3,16,0.001,20,0.9851269058447997,0.8814478667476522,0.21933667344623786
3,16,0.005,20,0.9743454710691889,0.8702038310333349,0.2203188945185326
